Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
mongolite,D:/software/R/R-3.6.3/library,2.2.0,NA,NA,"jsonlite (>= 1.4), openssl (>= 1.0), mime",NA,"spelling, nycflights13, ggplot2",NA,Apache License 2.0,NA,NA,NA,NA,yes,3.6.3
MonteCarlo,D:/software/R/R-3.6.3/library,1.0.6,NA,snow(>= 0.4-1),"abind(>= 1.4-0), codetools(>= 0.2-8), rlecuyer(>= 0.3-4),
snowfall(>= 1.84-4), stats(>= 3.0.2), utils(>= 3.0.2),
reshape(>= 0.8.6)",NA,"knitr, rmarkdown, testthat, dplyr, ggplot2",NA,GPL-2,NA,NA,NA,NA,no,3.6.3
mosaic,D:/software/R/R-3.6.3/library,1.6.0,NA,"R (>= 3.0.0), dplyr, lattice (>= 0.20-21), ggformula,
mosaicData, Matrix","mosaicCore (>= 0.5.0), ggplot2, ggrepel, rlang, MASS, grid,
tidyr, readr, methods, utils, splines, latticeExtra, ggdendro,
gridExtra, glue, broom, leaflet",NA,"vdiffr, lubridate, fastR, magrittr, NHANES, RCurl, sp,
maptools, vcd, testthat, knitr, tools, parallel, mapproj, rgl,
rmarkdown, covr",manipulate,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
mosaicCore,D:/software/R/R-3.6.3/library,0.6.0,NA,"R (>= 3.0.0),","stats, dplyr, lazyeval, rlang, tidyr, MASS",NA,"mosaicData, mosaic, ggformula, NHANES, testthat",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
mosaicData,D:/software/R/R-3.6.3/library,0.17.0,NA,R (>= 3.0.0),NA,NA,"lattice, mosaic, reshape2, ggplot2, dplyr, tidyr, ggformula",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
mosaicModel,D:/software/R/R-3.6.3/library,0.3.0,NA,"R (>= 3.1), mosaicCore, splines, dplyr","caret, ggplot2, ggformula, lazyeval, knitr, MASS, testthat,
tibble, tidyr, tidyverse",NA,"mosaic, mosaicData, randomForest, rpart",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
MPV,D:/software/R/R-3.6.3/library,1.55,NA,"R (>= 2.0.1), KernSmooth",NA,NA,NA,NA,Unlimited,NA,NA,NA,NA,no,3.6.3
mRMRe,D:/software/R/R-3.6.3/library,2.1.0,NA,"survival, igraph, methods",NA,NA,NA,NA,Artistic-2.0,NA,NA,NA,NA,yes,3.6.3
msm,D:/software/R/R-3.6.3/library,1.6.8,NA,NA,"survival,mvtnorm,expm",NA,"mstate,minqa,doParallel,foreach,numDeriv,testthat,flexsurv",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
mstate,D:/software/R/R-3.6.3/library,0.2.12,NA,survival (>= 3.1),RColorBrewer,NA,cmprsk,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
muhaz,D:/software/R/R-3.6.3/library,1.2.6.1,NA,R(>= 2.3),survival,NA,NA,NA,GPL,NA,NA,NA,NA,yes,3.6.3
multcomp,D:/software/R/R-3.6.3/library,1.4-13,NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5)",NA,GPL-2,NA,NA,NA,NA,no,3.6.3
multcompView,D:/software/R/R-3.6.3/library,0.1-8,NA,NA,grid,NA,"multcomp, pgirmess, MASS",NA,GPL,NA,NA,NA,NA,no,3.6.3
multiwayvcov,D:/software/R/R-3.6.3/library,1.2.3,NA,R (>= 3.0.0),"sandwich, boot, compiler, parallel, stats, utils",NA,lmtest,NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,no,3.6.3
MuMIn,D:/software/R/R-3.6.3/library,1.43.15,NA,R (>= 3.5.0),"graphics, methods, Matrix, stats, stats4, nlme",NA,"lme4 (>= 1.1.0), mgcv (>= 1.7.5), gamm4, MASS, nnet, survival
(>= 3.1.0), geepack","aod, aods3, betareg, caper, coxme, cplm, gee, glmmML,
logistf, MCMCglmm, ordinal, pscl, spdep, spatialreg, splm,
unmarked (>= 0.12.2), geeM (>= 0.7.5), gamlss",GPL-2,NA,NA,NA,NA,no,3.6.3
munsell,D:/software/R/R-3.6.3/library,0.5.0,NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
mvinfluence,D:/software/R/R-3.6.3/library,0.8-3,NA,"car, heplots",NA,NA,,NA,GPL-2,NA,NA,NA,NA,no,3.6.3
mvnormtest,D:/software/R/R-3.6.3/library,0.1-9,NA,stats,NA,NA,NA,NA,GPL,NA,NA,NA,NA,NA,3.6.0
mvoutlier,D:/software/R/R-3.6.3/library,2.0.9,NA,"sgeostat, R (>= 2.14)","robCompositions, robustbase",NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.3
mvPot,D:/software/R/R-3.6.3/library,0.1.4,NA,NA,"MASS, evd, numbers, gmp",NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.3
mvtnorm,D:/software/R/R-3.6.3/library,1.1-0,NA,R(>= 3.5.0),"stats, methods",NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.2
naivebayes,D:/software/R/R-3.6.3/library,0.9.7,NA,NA,NA,NA,"knitr, Matrix",NA,GPL-2,NA,NA,NA,NA,no,3.6.3
nanotime,D:/software/R/R-3.6.3/library,0.2.4,NA,NA,"methods, bit64, RcppCCTZ (>= 0.2.3), zoo",NA,"RUnit, data.table, xts",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
ncdf4,D:/software/R/R-3.6.3/library,1.17,NA,NA,NA,NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.1
ncdfgeom,D:/software/R/R-3.6.3/library,1.1.0,NA,R (>= 3.0),"RNetCDF, ncmeta, sf, dplyr, methods",NA,"testthat, knitr, rmarkdown, pkgdown, tidyverse, sp, geoknife,
ncdf4, jsonlite",NA,CC0,NA,NA,NA,NA,no,3.6.3
ncmeta,D:/software/R/R-3.6.3/library,0.2.0,NA,R (>= 3.3.0),"dplyr, rlang, RNetCDF, tibble, stats, tidyr",NA,"testthat, covr",NA,GPL-3,NA,NA,NA,NA,no,3.6.3
ncvreg,D:/software/R/R-3.6.3/library,3.11.2,NA,NA,NA,NA,"survival, parallel, knitr, ashr",NA,GPL-3,NA,NA,NA,NA,yes,3.6.3
neighbr,D:/software/R/R-3.6.3/library,1.0.3,NA,R (>= 3.3.0),NA,NA,"testthat, knitr, rmarkdown, mlbench",NA,GPL (>= 2.1),NA,NA,NA,NA,no,3.6.3
netrankr,D:/software/R/R-3.6.3/library,0.2.1,NA,R (>= 3.0.1),"igraph (>= 1.0.1), Rcpp (>= 0.12.8)","Rcpp,RcppArmadillo","knitr, rmarkdown, magrittr, ggplot2, testthat, shiny (>=
0.13), miniUI (>= 0.1.1), rstudioapi (>= 0.5)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.3
NetSwan,D:/software/R/R-3.6.3/library,0.1,NA,igraph,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
network,D:/software/R/R-3.6.3/library,1.16.0,NA,"R (>= 2.10), utils","tibble, magrittr",NA,"sna, statnet.common, testthat, covr",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
networkD3,D:/software/R/R-3.6.3/library,0.4,NA,R (>= 3.0.0),"htmlwidgets (>= 0.3.2), igraph, magrittr",NA,"htmltools (>= 0.2.6), jsonlite,","knitr, shiny",GPL (>= 3),NA,NA,NA,NA,no,3.6.3
networkDynamic,D:/software/R/R-3.6.3/library,0.10.1,NA,"R (>= 3.0.0), network (>= 1.16.0)","statnet.common, methods",network,testthat,NA,GPL-3,NA,NA,NA,NA,yes,3.6.3
neuralnet,D:/software/R/R-3.6.3/library,1.44.2,NA,R (>= 2.9.0),"grid, MASS, grDevices, stats, utils, Deriv",NA,testthat,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
NeuralNetTools,D:/software/R/R-3.6.3/library,1.5.2,NA,R (>= 3.1.1),"ggplot2 (>= 2.0.0), nnet, reshape2, scales, tidyr",NA,"caret, neuralnet, RSNNS",NA,CC0,NA,NA,NA,NA,no,3.6.3
NHANES,D:/software/R/R-3.6.3/library,2.1.0,NA,R (>= 3.0),NA,NA,mosaic,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
NISTunits,D:/software/R/R-3.6.3/library,1.0.1,NA,R (>= 2.7.0),NA,NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.0
nlme,D:/software/R/R-3.6.3/library,3.1-145,recommended,R (>= 3.4.0),"graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,GPL (>= 2) | file LICENCE,NA,NA,NA,NA,yes,3.6.3
nloptr,D:/software/R/R-3.6.3/library,1.2.2.1,NA,NA,NA,NA,"testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)",NA,LGPL-3,NA,NA,NA,NA,yes,3.6.3
NLP,D:/software/R/R-3.6.3/library,0.2-0,NA,R (>= 3.2.0),utils,NA,NA,"udpipe, spacyr, cleanNLP",GPL-3,NA,NA,NA,NA,no,3.6.0
nlreg,D:/software/R/R-3.6.3/library,1.2-2.2,NA,"R (>= 3.5.0), statmod, survival",NA,NA,"boot, cond, csampling, marg",NA,GPL (>= 2) | file LICENCE,NA,NA,NA,NA,no,3.6.3
NMF,D:/software/R/R-3.6.3/library,0.22.0,NA,"R (>= 3.0.0), methods, utils, pkgmaker (>= 0.20), registry,
rngtools (>= 1.2.3), cluster","graphics, stats, stringr (>= 1.0.0), digest, grid, grDevices,
gridBase, colorspace, RColorBrewer, foreach, doParallel,
ggplot2, reshape2, BiocManager, Biobase",NA,"fastICA, doMPI, bigmemory (>= 4.2), synchronicity(>= 1.3.2),
corpcor, xtable, devtools, knitr, bibtex, RUnit, mail",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
nnet,D:/software/R/R-3.6.3/library,7.3-13,recommended,"R (>= 3.0.0), stats, utils",NA,NA,MASS,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.3
nnls,D:/software/R/R-3.6.3/library,1.4,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.6.0
nodeHarvest,D:/software/R/R-3.6.3/library,0.7-3,NA,NA,"graphics, quadprog,randomForest",NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.6.3
nonnest2,D:/software/R/R-3.6.3/library,0.5-3,NA,R (>= 3.0.0),"CompQuadForm, mvtnorm, lavaan (>= 0.6-3), sandwich",NA,"mirt (>= 1.26.3), AER, MASS, faraway, mlogit, ordinal, pscl,
knitr, rmarkdown, testthat",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.3
nor1mix,D:/software/R/R-3.6.3/library,1.3-0,NA,NA,"stats, graphics",NA,cluster,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
nortest,D:/software/R/R-3.6.3/library,1.0-4,NA,NA,stats,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.0
np,D:/software/R/R-3.6.3/library,0.60-10,NA,NA,"boot, cubature, methods, quadprog, quantreg, stats",NA,MASS,NA,GPL,NA,NA,NA,NA,yes,3.6.3
npsurv,D:/software/R/R-3.6.3/library,0.4-0,NA,lsei,methods,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.0
numDeriv,D:/software/R/R-3.6.3/library,2016.8-1.1,NA,R (>= 2.11.1),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.0
nws,D:/software/R/R-3.6.3/library,1.7.0.1,NA,"R (>= 2.1), methods",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.6.0
nycflights13,D:/software/R/R-3.6.3/library,1.0.1,NA,R (>= 3.2),tibble,NA,dplyr,NA,CC0,NA,NA,NA,NA,no,3.6.3
OAIHarvester,D:/software/R/R-3.6.3/library,0.3-0,NA,NA,"utils, curl, xml2",NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.3
OceanView,D:/software/R/R-3.6.3/library,1.0.5,NA,"plot3D, plot3Drgl, R (>= 3.2)","methods, graphics, grDevices, stats, rgl, shape",NA,NA,NA,GPL (>= 3.0),NA,NA,NA,NA,yes,3.6.3
odbc,D:/software/R/R-3.6.3/library,1.2.2,NA,R (>= 3.2.0),"bit64, blob (>= 1.2.0), DBI (>= 1.0.0), hms, methods, rlang,
Rcpp (>= 0.12.11)","BH, Rcpp","covr, DBItest, magrittr, RSQLite, testthat, tibble",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.3
officer,D:/software/R/R-3.6.3/library,0.3.8,NA,NA,"R6, grDevices, zip (>= 2.0.3), uuid,stats, magrittr,utils,
xml2 (>= 1.1.0), graphics",NA,"testthat, devEMF,tibble,ggplot2, rmarkdown, knitr, rsvg",NA,GPL-3,NA,NA,NA,NA,no,3.6.3
OpenImageR,D:/software/R/R-3.6.3/library,1.1.6,NA,R(>= 3.2.3),"Rcpp (>= 0.12.17), graphics, grid, shiny, jpeg, png, tiff, R6","Rcpp, RcppArmadillo (>= 0.8.0)","testthat, knitr, rmarkdown, covr",NA,GPL-3,NA,NA,NA,NA,yes,3.6.3
OpenMPController,D:/software/R/R-3.6.3/library,0.2-5,NA,R (>= 3.4.1),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.0
openssl,D:/software/R/R-3.6.3/library,1.4.1,NA,NA,askpass,NA,"testthat, digest, knitr, rmarkdown, jsonlite, jose, sodium",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.3
openxlsx,D:/software/R/R-3.6.3/library,4.1.4,NA,R (>= 3.3.0),"grDevices, methods, Rcpp, stats, utils, zip, stringi",Rcpp,"knitr, testthat, roxygen2",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.3
optimParallel,D:/software/R/R-3.6.3/library,1,NA,"R (>= 3.5), stats, parallel",NA,NA,"R.rsp, roxygen2, spam, microbenchmark, testthat, ggplot2,
numDeriv, lbfgsb3, lbfgsb3c",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
optimx,D:/software/R/R-3.6.3/library,2020-4.2,NA,NA,numDeriv,NA,"knitr, rmarkdown, setRNG, BB, ucminf, minqa, dfoptim,
lbfgsb3c, lbfgs, subplex",NA,GPL-2,NA,NA,NA,NA,no,3.6.3
optmatch,D:/software/R/R-3.6.3/library,0.9-13,NA,"R (>= 2.15.1), survival","Rcpp, RItools, digest, stats, methods, graphics",Rcpp,"boot, biglm, testthat (>= 0.11.0), roxygen2, brglm, arm,
knitr, rmarkdown, pander, xtable","CBPS, haven",file LICENSE,NA,NA,NA,NA,yes,3.6.3
orcutt,D:/software/R/R-3.6.3/library,2.3,NA,lmtest,stats,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.3
ordinal,D:/software/R/R-3.6.3/library,2019.12-10,NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
ordinalCont,D:/software/R/R-3.6.3/library,2.0.1,NA,"R (>= 3.3.0), boot, splines, Deriv",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
orientlib,D:/software/R/R-3.6.3/library,0.10.3,NA,"R (>= 2.13.0), methods",NA,NA,"rgl, scatterplot3d",NA,GPL,NA,NA,NA,NA,no,3.6.3
orthopolynom,D:/software/R/R-3.6.3/library,1.0-5,NA,"R (>= 2.0.1), polynom",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.6.3
osmdata,D:/software/R/R-3.6.3/library,0.1.3,NA,R (>= 3.2.4),"curl, httr, lubridate, magrittr, methods, Rcpp (>= 0.12.4),
rvest, jsonlite, sp, tibble, utils, xml2",Rcpp,"devtools, knitr, pkgdown, raster, rmarkdown, roxygen2, sf,
testthat",NA,GPL-3,NA,NA,NA,NA,yes,3.6.3
oz,D:/software/R/R-3.6.3/library,1.0-21,NA,NA,graphics,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.0
packagedocs,D:/software/R/R-3.6.3/library,0.4.0,NA,R (>= 3.1.1),"crayon, devtools, digest, evaluate, highlight, htmltools,
lazyrmd (>= 0.2.0), magrittr, rmarkdown, stringr, tools,
whisker, yaml",NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
packrat,D:/software/R/R-3.6.3/library,0.5.0,NA,R (>= 3.0.0),"tools, utils",NA,"testthat (>= 0.7), devtools, httr, knitr, rmarkdown",NA,GPL-2,NA,NA,NA,NA,no,3.6.3
pamr,D:/software/R/R-3.6.3/library,1.56.1,NA,"R (>= 2.10), cluster, survival",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.3
pan,D:/software/R/R-3.6.3/library,1.6,NA,NA,NA,NA,"mitools, lme4",NA,GPL-3,NA,no,NA,NA,yes,3.6.3
pander,D:/software/R/R-3.6.3/library,0.6.3,NA,R (>= 2.15.0),"grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp",Rcpp,"grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en,
futile.logger, survival, microbenchmark, zoo, nlme, descr,
MASS, knitr, rmarkdown, tables, reshape, memisc, Epi,
randomForest, tseries, gtable, rms, forecast, data.table",NA,AGPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.6.3
parallel,D:/software/R/R-3.6.3/library,3.6.3,base,NA,"tools, compiler",NA,methods,"snow, nws, Rmpi",Part of R 3.6.3,NA,NA,NA,NA,yes,3.6.3
parallelMap,D:/software/R/R-3.6.3/library,1.5.0,NA,R (>= 3.0.0),"BBmisc (>= 1.8), checkmate (>= 1.8.0), parallel, stats, utils",NA,"BatchJobs (>= 1.8), batchtools (>= 0.9.6), data.table, Rmpi,
rpart, snow, testthat",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,no,3.6.3
ParamHelpers,D:/software/R/R-3.6.3/library,1.14,NA,NA,"backports, BBmisc (>= 1.10), checkmate (>= 1.8.2), fastmatch,
methods",NA,"akima, covr, eaf, emoa, GGally, ggplot2, grid, gridExtra,
irace (>= 2.1), lhs, plyr, reshape2, testthat",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.6.3
parsnip,D:/software/R/R-3.6.3/library,0.1.0,NA,R (>= 2.10),"dplyr (>= 0.8.0.1), rlang (>= 0.3.1), purrr, utils, tibble (>=
2.1.1), generics, glue, magrittr, stats, tidyr, globals,
prettyunits, vctrs (>= 0.2.0)",NA,"testthat, knitr, rmarkdown, survival, keras, xgboost, covr,
C50, sparklyr (>= 1.0.0), earth, kernlab, kknn, randomForest,
ranger, rpart, MASS, nlme, modeldata",NA,GPL-2,NA,NA,NA,NA,no,3.6.3
partitions,D:/software/R/R-3.6.3/library,1.9-22,NA,R (>= 3.6.0),"gmp, polynom, sets",NA,"spray,testthat",NA,GPL,NA,NA,NA,NA,yes,3.6.3
party,D:/software/R/R-3.6.3/library,1.3-4,NA,"R (>= 3.0.0), methods, grid, stats, mvtnorm (>= 1.0-2),
modeltools (>= 0.2-21), strucchange","survival (>= 2.37-7), coin (>= 1.1-0), zoo, sandwich (>=
1.1-1)",mvtnorm,"TH.data (>= 1.0-3), mlbench, colorspace, MASS, vcd, ipred,
varImp",NA,GPL-2,NA,NA,NA,NA,yes,3.6.3
partykit,D:/software/R/R-3.6.3/library,1.2-7,NA,"R (>= 3.1.0), graphics, grid, libcoin (>= 1.0-0), mvtnorm","grDevices, stats, utils, survival, Formula (>= 1.2-1), inum
(>= 1.0-0), rpart (>= 4.1-11)",NA,"XML, pmml, rJava, sandwich, strucchange, vcd, AER, mlbench,
TH.data (>= 1.0-3), coin (>= 1.1-0), RWeka (>= 0.4-19),
datasets, parallel, psychotools (>= 0.3-0), psychotree, party
(>= 1.3-0)",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.3
PASWR,D:/software/R/R-3.6.3/library,1.1,NA,"e1071, MASS, lattice",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.6.3
patchwork,D:/software/R/R-3.6.3/library,1.0.0,NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
pbapply,D:/software/R/R-3.6.3/library,1.4-2,NA,R (>= 3.2.0),parallel,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
pbivnorm,D:/software/R/R-3.6.3/library,0.6.0,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.0
pbkrtest,D:/software/R/R-3.6.3/library,0.4-8.6,NA,"R (>= 3.6.0), lme4 (>= 1.1.10)","Matrix (>= 1.2.3), parallel, magrittr, MASS, methods",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
pbmcapply,D:/software/R/R-3.6.3/library,1.5.0,NA,"utils, parallel",NA,NA,NA,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
PBSmapping,D:/software/R/R-3.6.3/library,2.72.1,NA,R (>= 3.5.0),NA,NA,"foreign, maptools, deldir",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
pbv,D:/software/R/R-3.6.3/library,0.3-19,NA,R (>= 3.1),Rcpp,"Rcpp, RcppArmadillo",pbivnorm,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
pcaL1,D:/software/R/R-3.6.3/library,1.5.4,NA,NA,NA,NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.2
pcaPP,D:/software/R/R-3.6.3/library,1.9-73,NA,NA,mvtnorm,NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.2
PCICt,D:/software/R/R-3.6.3/library,0.5-4.1,NA,"R (>= 2.12.0), methods, graphics",NA,NA,RUnit,NA,GPL-2,NA,NA,NA,NA,yes,3.6.2
pcse,D:/software/R/R-3.6.3/library,1.9.1.1,NA,NA,NA,NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.0
pder,D:/software/R/R-3.6.3/library,1.0-1,NA,R (>= 3.5.0),NA,NA,"car, dplyr, ggplot2, lmtest, msm, pglm, plm, splm, survival,
texreg",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
pdfCluster,D:/software/R/R-3.6.3/library,1.0-3,NA,NA,"geometry, methods",NA,cluster,NA,GPL-2,NA,NA,NA,NA,yes,3.6.3
pdftools,D:/software/R/R-3.6.3/library,2.3,NA,NA,"Rcpp (>= 0.12.12), qpdf",Rcpp,"jpeg, png, webp, tesseract, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.3
pdp,D:/software/R/R-3.6.3/library,0.7.0,NA,R (>= 3.2.5),"ggplot2 (>= 0.9.0), grDevices, gridExtra, lattice, magrittr,
methods, mgcv, plyr, stats, viridis, utils",NA,"adabag, AmesHousing, C50, caret, Cubist, doParallel, dplyr,
e1071, earth, gbm, ipred, keras, kernlab, MASS, mda, nnet,
party, partykit, progress, randomForest, ranger, rpart,
testthat, xgboost (>= 0.6-0), knitr, rmarkdown, vip",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
pec,D:/software/R/R-3.6.3/library,2019.11.03,NA,"R (>= 2.9.0), prodlim (>= 1.4.9)","foreach (>= 1.4.2), rms (>= 4.2-0), survival (>= 2.37-7),
timereg (>= 1.8.9)",NA,"randomForestSRC, party, cmprsk (>= 2.2-7), rpart, CoxBoost,
crrstep, riskRegression (>= 1.0.8), lava (>= 1.4.1), Hmisc (>=
3.14-4)",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
penalized,D:/software/R/R-3.6.3/library,0.9-51,NA,"R (>= 2.10.0), survival, methods",Rcpp,"Rcpp, RcppArmadillo",globaltest,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.3
PerformanceAnalytics,D:/software/R/R-3.6.3/library,2.0.4,NA,"R (>= 3.5.0), xts (>= 0.10.0)","methods, quadprog, zoo",NA,"dygraphs, Hmisc, MASS, quantmod, gamlss, gamlss.dist,
robustbase, quantreg, tinytest, ggplot2, RColorBrewer,
googleVis, plotly, gridExtra, ggpubr, RPESE, R.rsp, RobStatTM",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.3
permute,D:/software/R/R-3.6.3/library,0.9-5,NA,R (>= 2.14.0),stats,NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel",NA,GPL-2,NA,NA,NA,NA,no,3.6.3
pgirmess,D:/software/R/R-3.6.3/library,1.6.9,NA,NA,"boot (>= 1.3-4), maptools (>= 0.8-36), rgdal (>= 0.7-8), rgeos
(>= 0.3-8), sp (>= 0.9-97), spdep (>= 0.5-43), splancs (>=
2.01-31)",NA,"MASS (>= 7.3-1), nlme (>= 3.1-120)",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
pglm,D:/software/R/R-3.6.3/library,0.2-2,NA,"R (>= 2.10), maxLik, plm","statmod, Formula",NA,"lmtest, car",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
pillar,D:/software/R/R-3.6.3/library,1.4.3,NA,NA,"cli, crayon (>= 1.3.4), fansi, rlang (>= 0.3.0), utf8 (>=
1.1.0), vctrs (>= 0.2.0)",NA,"knitr, lubridate, testthat (>= 2.0.0), withr",NA,GPL-3,NA,NA,NA,NA,no,3.6.3
pingr,D:/software/R/R-3.6.3/library,2.0.0,NA,NA,"processx, utils",NA,"covr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.3
pinp,D:/software/R/R-3.6.3/library,0.0.9,NA,NA,"rmarkdown, knitr",NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.6.3
pixmap,D:/software/R/R-3.6.3/library,0.4-11,NA,methods,NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,NA,3.6.0
pkgbuild,D:/software/R/R-3.6.3/library,1.0.6,NA,R (>= 3.1),"callr (>= 3.2.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, testthat, covr",NA,GPL-3,NA,NA,NA,NA,no,3.6.3
pkgconfig,D:/software/R/R-3.6.3/library,2.0.3,NA,NA,utils,NA,"covr, testthat, disposables (>= 1.0.3)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
pkgdown,D:/software/R/R-3.6.3/library,1.5.1,NA,R (>= 3.1.0),"callr (>= 2.0.2), cli, crayon, desc, digest, evaluate, fs (>=
1.3.0), fansi, highlight, httr, magrittr, MASS, memoise,
openssl, purrr, processx, rematch2, rlang (>= 0.3.0), rmarkdown
(>= 1.1.9007), rstudioapi, tibble, tools, whisker, withr, xml2
(>= 1.3.1), yaml",NA,"covr, htmlwidgets, jsonlite, knitr, leaflet, pkgload (>=
1.0.2), testthat (>= 2.1.0), rticles, rsconnect",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.3
pkgKitten,D:/software/R/R-3.6.3/library,0.1.5,NA,NA,NA,NA,whoami (>= 1.1.0),NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.3
